Country	Sector	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Cyprus	Agriculture, forestry and fishing	394.10	448.00	457.70	431.60	429.80	411.90	370.20	356.00	397.90	371.40	400.40	426.00	390.20	367.40	322.50	335.20	407.60	376.30	374.70	409.10	408.40	385.80	345.40	369.50	396.10
Cyprus	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies	360.00	397.50	424.00	452.00	488.80	531.20	593.90	631.20	744.80	757.20	833.10	872.40	846.00	697.10	677.10	682.00	710.80	743.90	778.90	835.90	678.20	800.60	938.90	990.70	1038.00
Cyprus	Construction	811.20	872.00	968.10	1081.60	1206.40	1360.10	1572.40	1818.90	2014.70	1584.10	1422.60	1233.00	1030.10	781.90	653.40	634.80	759.20	922.50	1094.30	1304.70	1229.10	1261.00	1282.70	1393.30	1511.20
Cyprus	Financial and insurance activities	669.30	736.00	709.40	727.90	825.90	938.70	1108.90	1267.20	1303.20	1420.50	1531.70	1707.10	1857.00	1922.40	1898.50	2025.60	1925.00	1817.40	1597.20	1553.90	2047.70	2361.30	2439.00	2790.20	3143.80
Cyprus	Industry (except construction)	1099.70	1146.20	1198.40	1236.90	1311.80	1330.60	1327.50	1382.20	1387.40	1395.40	1395.20	1298.00	1262.20	1157.30	1090.10	1193.90	1301.20	1382.40	1527.50	1688.00	1640.00	1687.20	1747.40	1895.60	1953.40
Cyprus	Information and communication	392.30	453.60	456.80	453.30	495.20	512.20	479.70	525.40	556.80	556.90	622.60	642.60	619.40	688.90	737.60	756.30	969.20	1154.60	1237.90	1436.10	1730.90	2026.90	2788.30	3089.90	3381.90
Cyprus	Professional, scientific and technical activities; administrative and support service activities	763.40	896.10	942.20	939.50	965.40	1037.50	1129.00	1232.90	1388.60	1381.00	1555.40	1633.70	1560.50	1443.60	1480.80	1567.40	1682.10	1902.30	2133.70	2294.80	2238.00	2439.50	2691.90	2744.50	2858.30
Cyprus	Public administration, defence, education, human health and social work activities	1800.60	1892.60	2045.30	2376.70	2536.90	2718.00	2896.70	2984.70	3298.80	3529.90	3659.10	3756.40	3759.10	3493.70	3207.40	3134.90	3162.10	3330.20	3525.20	3843.80	4121.70	4369.90	4739.90	5031.10	5366.30
Cyprus	Real estate activities	622.80	657.70	714.90	784.60	896.30	1034.70	1155.80	1251.60	1366.50	1521.00	1612.10	1751.60	1815.30	1663.90	1463.90	1483.90	1573.10	1599.50	1829.50	2083.40	2147.80	2339.60	2662.00	2833.20	3050.30
Cyprus	Total - all NACE activities	9844.70	10511.10	10889.40	11419.70	12261.90	13139.30	14165.60	15184.60	16416.50	16419.50	17160.50	17649.10	17293.90	16037.80	15322.80	15714.90	16646.50	17740.50	19024.60	20551.30	19958.60	22796.70	26032.40	27679.20	29678.60
Cyprus	Wholesale and retail trade, transport, accommodation and food service activities	2931.30	3011.40	2972.60	2935.50	3105.50	3264.50	3531.70	3734.70	3957.90	3902.10	4128.30	4328.40	4154.20	3821.60	3791.40	3901.00	4156.00	4511.40	4925.90	5101.60	3716.90	5124.90	6396.90	6541.20	6979.30
Czechia	Agriculture, forestry and fishing	2177.50	2424.90	2323.30	2162.80	2331.50	2518.90	2694.10	2901.20	3108.20	2625.20	2428.60	3270.80	3654.50	3767.20	3804.20	3852.10	3848.20	4142.30	4203.00	4339.30	4282.80	4327.00	5958.60	6832.60	6091.60
Czechia	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies	1554.10	1669.80	1894.30	2024.30	2158.90	2315.90	2648.00	2867.90	3110.30	2978.60	3278.30	3662.10	3218.10	3113.00	3023.00	3270.50	3500.30	3902.60	4199.90	4496.30	3882.30	4230.60	5371.20	6160.30	6317.60
Czechia	Construction	3762.70	4145.70	5081.40	5287.30	5654.70	6648.90	7167.70	8047.00	9300.60	9420.20	10071.00	9588.40	8622.90	8207.00	8040.90	8579.20	8659.10	9451.50	10502.20	11284.00	11049.40	12174.50	14286.70	16416.10	16307.50
Czechia	Financial and insurance activities	1923.00	2295.10	2110.80	2705.60	2858.90	3116.50	3471.20	4523.70	5970.30	5938.30	6610.00	6753.60	6533.10	6435.70	5963.30	6357.10	6505.70	7095.00	7775.70	8101.40	7954.50	9036.30	9459.10	11068.80	11105.80
Czechia	Industry (except construction)	18688.20	21521.00	23944.90	23368.60	26734.90	30376.40	35527.20	39383.20	45116.70	39821.10	42219.20	45896.80	44782.10	43745.20	45261.90	48573.10	50505.80	53966.30	56207.40	59412.90	54323.10	57979.40	69563.90	79389.40	77380.70
